project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
pgssoft_httpclientmock,96.39,90.54,24,261,25,531,17,224
project-books_books-api,5.62,25.49,2132,2240,4501,4750,2052,2138
dhatim_dropwizard-jwt-cookie-authentication,82.97,70.59,25,84,29,193,15,67
eh3rrera_graphql-java-spring-boot-example,29.75,5.88,85,114,95,139,51,80
ngageoint_simple-features-geojson-java,74.18,54.28,164,364,214,739,39,193
slack-samples_bolt-java-starter-template,5.51,7.14,67,72,159,172,60,65
spannm_ucanaccess,62.39,62.92,2060,4039,3764,9452,1015,2095
stratospheric-dev_cdk-constructs,0.0,0.0,126,126,741,741,113,113
stefanopenazzi_chameleonquant,0.0,0.0,907,907,2702,2702,618,618
nscuro_bradamsa-ng,28.82,12.5,74,99,174,245,52,75
albfernandez_juniversalchardet,99.42,66.41,216,613,250,1767,57,286
mipo256_properties-maven-plugin,72.47,63.16,46,143,90,328,16,86
qoomon_maven-git-versioning-extension,11.21,8.11,487,554,1033,1194,220,270
sttp-book_code-examples,88.01,90.34,53,272,55,399,28,127
ngageoint_geopackage-core-java,8.07,5.36,6415,6736,14226,15363,4192,4424
stickfigure_hattery,43.7,27.4,261,408,295,583,117,231
moacirrf_netbeans-markdown,25.15,18.15,828,975,2285,2894,361,475
botorabi_homiecenter,88.4,83.64,73,430,112,1036,35,291
zowe_zowe-client-java-sdk,40.73,36.31,1550,2363,2790,4999,904,1552
hack23_sonar-cloudformation-plugin,0.0,0.0,0,0,0,0,0,0
bhlangonijr_chesslib,84.9,69.71,437,1241,637,2926,170,604
guohai163_java-sql-web,1.83,0.0,851,877,1109,1157,393,419
ofpay_logback-mdc-ttl,0.0,0.0,40,40,77,77,29,29
nikoo28_java-solutions,56.34,57.92,1196,2587,2665,5961,413,915
oswaldobapvicjr_performetrics,100.0,99.43,1,440,0,919,0,352
omnifaces_omniutils,29.15,30.83,551,778,887,1282,294,430
pradyuman7_algorithmics,85.48,82.05,22,121,35,233,4,43
supaldubey_blog-server,28.97,16.79,531,608,1103,1489,466,538
pac4j_dropwizard-pac4j,68.98,72.92,69,139,104,287,56,115
sethm_symon,62.84,55.01,730,1356,1857,3239,328,555
phip1611_docx4j-search-and-replace-util,97.27,92.31,4,41,5,133,2,28
wdrammeh_utg-student-dashboard,0.03,0.0,2618,2621,8966,8969,1479,1482
luncher91_a2lparser,71.4,67.7,3179,7024,5315,15461,2239,5077
dhaneeshtb_scaleguard,4.74,4.1,1963,2078,5228,5523,1281,1379
arxila_atomichash,94.89,84.74,59,383,58,819,6,170
devslm_proguard-spring-boot-example,41.52,0.0,39,63,5,44,15,39
awslabs_kinesis-kafka-connector,0.0,0.0,141,141,427,427,50,50
axel3rd_mpg-coach-bot,91.76,83.95,103,703,85,1406,10,389
analysys_presto-hbase-connector,1.56,1.49,592,604,1559,1588,320,329
s1ck_gdl,80.1,61.49,303,790,367,1724,146,517
assert-kth_deptrim,44.54,50.0,51,98,202,378,28,59
htmfilho_digger,26.1,33.65,289,436,803,1126,218,332
lukehutch_pikaparser,65.78,58.6,286,633,542,1505,52,187
coreoz_windmill,70.66,51.14,144,382,67,515,63,250
52north_jackson-datatype-jts,29.36,12.5,107,132,239,333,54,77
nylle_javafixture,94.46,87.63,61,560,55,994,9,316
nlpub_watset-java,56.34,56.09,175,428,463,1119,93,285
syqu22_spring-boot-shop-sample,0.0,0.0,212,212,351,351,137,137
ngageoint_simple-features-wkb-java,53.66,64.71,124,251,235,560,70,126
jzheng2017_resultset-mapper,97.21,83.33,13,94,3,215,1,58
camunda-community-hub_zeebe-worker-java-testutils,76.66,55.0,56,137,74,276,39,115
jckleiner_notion-backup,8.29,2.94,163,173,365,405,80,88
loyispa_jgc_exporter,81.96,54.63,195,466,345,1868,54,255
brenoepics_at4j,86.77,67.65,105,393,127,919,48,289
azam_ulidj,100.0,100.0,0,91,0,281,0,48
janlely_jparser,26.95,17.98,628,854,713,1096,418,609
programmerzamannow_belajar-jenkins-pipeline,50.47,11.29,110,246,39,224,55,184
aws-samples_msk-config-providers,55.41,42.55,63,94,92,202,24,47
iwamih31_accountbook,0.27,0.0,545,554,1606,1615,303,312
guillaumefalourd_java-training-api,6.77,0.0,25,28,41,44,17,20
gurkanucar_spring-boot-webrtc-peer2peer,18.93,0.0,14,22,56,75,10,18
sofienebk_hands-on-ci-cd-for-springboot-apps,100.0,100.0,0,9,0,26,0,7
monodot_hello-java-spring-boot,40.0,0.0,2,4,3,5,2,4
ath31st_s21_decimal_starter,0.0,0.0,195,195,873,873,104,104
xabgesagtx_telegram-spring-boot-starter,13.74,2.63,101,114,55,82,45,57
bonigarcia_webdrivermanager-examples,0.0,0.0,2,2,7,7,2,2
selimhorri_upload-download-files-over-http,48.08,0.0,17,24,54,73,16,23
alkemytech_ot275-server,77.44,58.57,416,1535,507,2354,283,1325
acenelio_aula-camadas,15.65,0.0,35,43,83,96,34,42
andrewkkchan_client-ledger-core-db,90.59,93.1,21,188,43,480,18,159
ivanjakimovski_spring-boot-pdf-generator,12.24,0.0,3,6,25,30,3,6
arieslab_jnose-core,53.17,36.15,495,733,709,1574,157,312
nuriofernandez_reflectedeventhandler,0.0,0.0,85,85,130,130,59,59
leanstacks_skeleton-ws-spring-boot,56.96,18.75,80,186,192,477,58,162
as-12_spring-boot-example-send-email-template,53.7,50.0,19,37,54,113,17,35
projectdiscovery_nuclei-burp-plugin,12.59,11.03,701,786,1704,1939,475,544
sonar-auth-oidc_sonar-auth-oidc,93.21,79.76,17,103,21,277,2,59
praveensirvi1212_devsecops-project,30.0,0.0,2,3,3,4,2,3
anicetkeric_aws-cognito-spring-auth-server,4.2,0.0,290,312,322,344,168,190
commoncrawl_cc-webgraph,19.55,28.57,264,330,709,902,151,178
max-jang_korea-music-chart-api,5.96,0.0,191,203,283,312,103,115
milpol_gorilla4j,81.24,64.0,32,94,42,251,4,44
selimhorri_project-tracking-system-backend-app,14.98,0.0,446,525,1047,1298,398,477
alexandreaquiles_dibujo,91.76,81.65,31,103,21,183,3,24
paneladev_agenda-service,40.36,7.69,153,260,130,257,104,208
gcs-zhn_movie-on-server,10.3,6.79,265,292,593,678,124,149
jeonjeunghoon_kculter,3.07,7.27,421,441,1329,1369,344,358
getindata_flink-http-connector,94.02,90.08,84,648,114,1920,37,406
